mesh.ad.jp=BIGLOBE,日本電気(株),
nttpc.ne.jp=ISP事業者向けネットワーク提供サービス,(株)NTTＰＣコミュニケーションズ,
ocn.ne.jp=OCN,NTTコミュニケーションズ(株),
odn.ad.jp=ODN,ソフトバンクテレコム(株),
plala.or.jp=ぷらら,(株)ぷららネットワークス,
so-net.ne.jp=So-net,ソニーコミュニケーションネットワーク(株),
ttcn.ne.jp=TTCN,東京通信ネットワーク(株),
zero.ad.jp=ZERO,ゼロ(株),
sannet.ne.jp=SANNET,三洋電機ソフトウエア(株),
highway.ne.jp=ハイウェイインターネット,CSKネットワークシステムズ(株),
att.ne.jp=JENS SpinNet,JENS(株),
alpha-net.ne.jp=Alpha Internet,アルファ総合研究所(株),
iij4u.or.jp=IIJ4U,(株)インターネットイニシアティブ,
2iij.net=(株)インターネットイニシアティブ,,
isao.net=isao,(株)ISAO,
uu.net=UUNET,UUNET Technologies， Inc.,
hi-ho.ne.jp=Panasonic Hi-HO,パナソニック ネットワークサービシズ(株),
interq.net=interQ,グローバルメディアオンライン(株) ,
psi.net=PSINet,PSINet，Inc,
nifty.co.jp=ニフティ(株),,
me-h.ne.jp=WAKWAK,(株)NTT-ME北海道,
aol.com=AOL,America Online，Inc.,
freebit.net=ReSET.JP,FreeBit.Com,
livedoor.com=livedoor,(株)ライブドア,
pacbell.net=PACIFIC BELL INTERNET SERVICE,Pacific Bell Telephone Company,
xaxon.ne.jp=ザクソンインターネット,ザクソン(株),
metallic.co.jp=東京めたりっく通信,東京めたりっく通信(株),
osaka-metallic.co.jp=大阪めたりっく通信,大阪めたりっく通信(株),
nagoya-metallic.co.jp=名古屋めたりっく通信,名古屋めたりっく通信(株),
pias.ne.jp=PIASサービス,NTT-Docomo,
eaccess.ne.jp=eAccess,イー･アクセス(株),
wakwak.ne.jp=WAKWAKネット,(株)ＮＴＴ－ＭＥ,
odn.ne.jp=ODN,ソフトバンクテレコム(株),
psinet.ne.jp=PSINet,ピーエスアイネット(株),
pacific.net.hk=Pacific Supernet,Pacific Supernet Ltd.,
ttnet.ad.jp=東京通信ネットワーク(株),,
u-netsurf.ne.jp=U-net SURF,日本ユニシス情報システム(株),
neweb.ne.jp=DION,(株)KDDI,
din.or.jp=DOLPHIN internet,(株)ドルフィンインターナショナル,
justnet.ne.jp=JustNet,(株)ウェ ブオンラインネットワークス,
coara.or.jp=COARA,(株)コアラ,
iij.ad.jp=(株)インターネットイニシアティブ,,
airnet.ne.jp=エアーネット,(株)アドテックス,
asahi-net.or.jp=ASAHIネット,(株)朝日ネット,
dsnw.ne.jp=DS Networks,(株)ディーエスネットワークス,
freecom.ne.jp=FREECOM,トライネットワークインターナショナル(株),
freeserve.ne.jp=freeserve,(株)フリーサーブ ,
alumnet.ne.jp=アルムネット,,
angel.ne.jp=Angel Net,データシステム(株),
bai.ne.jp=ベイ・エリア・インターネット,,
bias.ne.jp=バイアスネット,,
